force,hospital,outcome,crime_count
Cumbria Constabulary,Carleton Clinic,Adult Caution With Alternate Offence,1
Cumbria Constabulary,Furness General Hospital,Adult Caution With Alternate Offence,1
Cumbria Constabulary,Cumberland Infirmary,Cannabis Warning,1
Cumbria Constabulary,Furness General Hospital,Cannabis Warning,1
Cumbria Constabulary,Carleton Clinic,Caution - Adults,2
Cumbria Constabulary,Cumberland Infirmary,Caution - Adults,5
Cumbria Constabulary,Furness General Hospital,Caution - Adults,9
Cumbria Constabulary,Carleton Clinic,Charge/Summons,94
Cumbria Constabulary,Cumberland Infirmary,Charge/Summons,150
Cumbria Constabulary,Furness General Hospital,Charge/Summons,101
Cumbria Constabulary,Carleton Clinic,Charge/Summonsed With Alternate Offence,7
Cumbria Constabulary,Cumberland Infirmary,Charge/Summonsed With Alternate Offence,12
Cumbria Constabulary,Furness General Hospital,Charge/Summonsed With Alternate Offence,7
Cumbria Constabulary,Carleton Clinic,Community Resolution,23
Cumbria Constabulary,Cumberland Infirmary,Community Resolution,10
Cumbria Constabulary,Furness General Hospital,Community Resolution,15
Cumbria Constabulary,Cumberland Infirmary,"Diversionary, Educational Or Intervention Activity Undertaken",1
Cumbria Constabulary,Furness General Hospital,"Diversionary, Educational Or Intervention Activity Undertaken",5
Cumbria Constabulary,Carleton Clinic,Evidential Difficulties Victim Based - Named Suspect Not Identified,7
Cumbria Constabulary,Cumberland Infirmary,Evidential Difficulties Victim Based - Named Suspect Not Identified,10
Cumbria Constabulary,Furness General Hospital,Evidential Difficulties Victim Based - Named Suspect Not Identified,4
Cumbria Constabulary,Carleton Clinic,Formal Action Against The Offender Is Not In The Public Interest (Police),4
Cumbria Constabulary,Cumberland Infirmary,Formal Action Against The Offender Is Not In The Public Interest (Police),2
Cumbria Constabulary,Brampton War Memorial Hospital,Investigation Complete: No Suspect Identified,2
Cumbria Constabulary,Carleton Clinic,Investigation Complete: No Suspect Identified,59
Cumbria Constabulary,Cockermouth Community Hospital,Investigation Complete: No Suspect Identified,2
Cumbria Constabulary,Cumberland Infirmary,Investigation Complete: No Suspect Identified,74
Cumbria Constabulary,Furness General Hospital,Investigation Complete: No Suspect Identified,50
Cumbria Constabulary,Keswick (Mary Hewetson) Community Hospital,Investigation Complete: No Suspect Identified,1
Cumbria Constabulary,Brampton War Memorial Hospital,Named Suspect - Further Investigation Not In Public Interest,1
Cumbria Constabulary,Carleton Clinic,Named Suspect - Further Investigation Not In Public Interest,99
Cumbria Constabulary,Cockermouth Community Hospital,Named Suspect - Further Investigation Not In Public Interest,1
