Offence Code,Total,Year from,Year to
01,1,2019,2020
03B,10,2019,2020
05D,1,2019,2020
08L,10,2019,2020
08N,21,2019,2020
08Q,1,2019,2020
08R,3,2019,2020
08S,2,2019,2020
08U,1,2019,2020
09A,47,2019,2020
09B,13,2019,2020
104,18,2019,2020
105A,71,2019,2020
105B,4,2019,2020
10C,1,2019,2020
10D,6,2019,2020
11A,1,2019,2020
126,1,2019,2020
13,1,2019,2020
17A,2,2019,2020
20A,11,2019,2020
23,1,2019,2020
30C,13,2019,2020
30D,1,2019,2020
34B,1,2019,2020
35,1,2019,2020
38,1,2019,2020
39,10,2019,2020
41,5,2019,2020
44,13,2019,2020
45,13,2019,2020
47,1,2019,2020
48,1,2019,2020
49,91,2019,2020
58A,1,2019,2020
58B,6,2019,2020
58C,5,2019,2020
58D,10,2019,2020
58J,1,2019,2020
59,2,2019,2020
66,7,2019,2020
80,1,2019,2020
92D,4,2019,2020
92E,5,2019,2020
03B,4,2020,2021
05E,1,2020,2021
08L,4,2020,2021
08M,1,2020,2021
08N,44,2020,2021
08P,1,2020,2021
08Q,1,2020,2021
08R,4,2020,2021
08S,7,2020,2021
08T,4,2020,2021
09A,46,2020,2021
09B,22,2020,2021
104,13,2020,2021
105A,46,2020,2021
105B,1,2020,2021
126,1,2020,2021
17A,3,2020,2021
19C,2,2020,2021
20A,7,2020,2021
30C,5,2020,2021
30D,2,2020,2021
33,1,2020,2021
39,4,2020,2021
41,2,2020,2021
44,17,2020,2021
45,3,2020,2021
47,1,2020,2021
49,48,2020,2021
58B,6,2020,2021
58C,2,2020,2021
58D,18,2020,2021
59,1,2020,2021
66,7,2020,2021
70,1,2020,2021
92A,3,2020,2021
92D,9,2020,2021
92E,2,2020,2021
03B,3,2021,2022
08L,5,2021,2022
08N,53,2021,2022
08P,2,2021,2022
08R,7,2021,2022
08S,7,2021,2022
08T,4,2021,2022
09A,56,2021,2022
09B,17,2021,2022
104,24,2021,2022
105A,62,2021,2022
10C,2,2021,2022
10D,1,2021,2022
17A,2,2021,2022
19C,3,2021,2022
20A,8,2021,2022
23,1,2021,2022
30C,7,2021,2022
30D,1,2021,2022
34B,1,2021,2022
39,3,2021,2022
41,4,2021,2022
44,10,2021,2022
45,2,2021,2022
47,2,2021,2022
49,45,2021,2022
56B,1,2021,2022
58A,1,2021,2022
58B,4,2021,2022
58D,23,2021,2022
58J,1,2021,2022
59,1,2021,2022
66,6,2021,2022
70,1,2021,2022
79,1,2021,2022
80,1,2021,2022
88E,1,2021,2022
92D,5,2021,2022
92E,2,2021,2022
03B,4,2022,2023
05D,2,2022,2023
08L,3,2022,2023
08N,73,2022,2023
08P,1,2022,2023
08Q,1,2022,2023
08R,3,2022,2023
08S,7,2022,2023
08T,6,2022,2023
08U,1,2022,2023
09A,48,2022,2023
09B,27,2022,2023
104,37,2022,2023
105A,57,2022,2023
10B,1,2022,2023
10D,1,2022,2023
17A,2,2022,2023
19C,2,2022,2023
19F,1,2022,2023
20A,9,2022,2023
30C,4,2022,2023
30D,1,2022,2023
34B,1,2022,2023
37/2,1,2022,2023
39,9,2022,2023
41,2,2022,2023
44,11,2022,2023
45,3,2022,2023
48,5,2022,2023
49,48,2022,2023
56A,1,2022,2023
56B,1,2022,2023
58B,13,2022,2023
58C,2,2022,2023
58D,14,2022,2023
58J,1,2022,2023
59,2,2022,2023
66,4,2022,2023
88E,1,2022,2023
92D,3,2022,2023
92E,4,2022,2023
03B,5,2023,2024
05D,1,2023,2024
08L,7,2023,2024
08M,1,2023,2024
08N,52,2023,2024
08P,8,2023,2024
08Q,1,2023,2024
08R,5,2023,2024
08S,9,2023,2024
08T,1,2023,2024
09A,68,2023,2024
09B,24,2023,2024
104,29,2023,2024
105A,69,2023,2024
105B,6,2023,2024
10B,1,2023,2024
10C,1,2023,2024
10D,2,2023,2024
19C,2,2023,2024
19J,2,2023,2024
20A,8,2023,2024
22A,1,2023,2024
30C,12,2023,2024
31A,2,2023,2024
33,1,2023,2024
34B,1,2023,2024
36,1,2023,2024
39,6,2023,2024
44,11,2023,2024
45,3,2023,2024
46,2,2023,2024
48,1,2023,2024
49,76,2023,2024
56B,1,2023,2024
58B,9,2023,2024
58D,22,2023,2024
59,2,2023,2024
66,5,2023,2024
88E,2,2023,2024
92A,1,2023,2024
92D,2,2023,2024
92E,2,2023,2024
